cell,arm,slice,class,named_reaction,parent,n_molecules,n_wells,n_multi_product_wells,n_distinct_reagent_sets,n_distinct_parents,n_distinct_templates,reward_min,reward_median,reward_max,first_step,last_step
scent_seh_seed44_par10,best_candidate,full,A,Suzuki coupling,OB(O)c1ccc2c(ccn2CC2CC2)c1,2,2,0,2,1,1,8.17,8.226,8.283,20,86
scent_seh_seed44_par10,best_candidate,full,A,Suzuki coupling,OB(O)c1cccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)c1,2,2,0,2,1,1,8.249,8.251,8.253,31,32
scent_seh_seed44_par10,best_candidate,full,A,Amide coupling,O=C(O)c1ccc2nc([C@@H]3Cc4ccccc4CN3)oc2c1,2,2,0,2,1,1,8.184,8.193,8.202,57,72
scent_seh_seed44_par10,best_candidate,full,A,Suzuki coupling,OB(O)c1cccc(-c2nnn(CC3CC3)n2)c1,2,2,0,2,1,1,8.176,8.186,8.196,63,82
scent_seh_seed44_par10,best_candidate,full,A,Amide coupling,NCCc1cn(CC2CC2)c2ccccc12,2,2,0,2,1,1,8.117,8.154,8.192,66,150
scent_seh_seed44_par10,best_candidate,full,A,Reductive amination (aldehyde),O=Cc1nc2ccccc2n1CC1CC1,2,2,0,2,1,1,8.098,8.139,8.18,76,186
scent_seh_seed44_par10,best_candidate,full,A,Benzimidazole formation,Nc1ccc(CNC23CC(C2)C3)cc1N,2,2,0,2,1,2,8.13,8.145,8.161,93,132
scent_seh_seed44_par10,best_candidate,full,A,Amide coupling,Nc1cccc2ccn(CC3CC3)c12,2,2,0,2,1,1,8.12,8.139,8.159,95,147
scent_seh_seed44_par10,best_candidate,full,A,Benzoxazole formation,Nc1cc(-c2nnn(CC3CC3)n2)ccc1O,2,2,0,2,1,1,8.117,8.136,8.156,100,152
scent_seh_seed44_par10,best_candidate,full,A,Amide coupling,O=C(O)c1ccc(CNC23CC(C2)C3)cc1,2,2,0,2,1,1,8.083,8.113,8.143,120,220
scent_seh_seed44_par10,best_candidate,full,A,Suzuki coupling,OB(O)c1ccc(-c2nnn(CC3CC3)n2)s1,2,2,0,2,1,1,8.097,8.114,8.131,130,189
scent_seh_seed44_par10,best_candidate,full,A,Suzuki coupling,Brc1cccc2nc(C3CCN3)oc12,2,2,0,2,1,1,8.064,8.085,8.106,171,248
scent_seh_seed44_par10,best_candidate,full,A,N-alkylation (azole N-H + alkyl halide),c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,1,1,0,1,1,1,8.404,8.404,8.404,1,1
scent_seh_seed44_par10,best_candidate,full,A,Triazole formation (alkyne + alkyl halide),C#Cc1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)cc1,1,1,0,1,1,1,8.396,8.396,8.396,2,2
scent_seh_seed44_par10,best_candidate,full,A,N-alkylation (azole N-H + alkyl halide),c1ccc2c(CNc3ccc4[nH]c(-c5ccc(CO[C@H]6CN7CCC6CC7)cc5)nc4c3)c[nH]c2c1,1,1,0,1,1,1,8.393,8.393,8.393,3,3
scent_seh_seed44_par10,best_candidate,full,A,Amide coupling,O=C(O)c1ccc2nc(-c3ccc(C(=O)NCc4cn(CC5CC5)c5ccccc45)cc3)oc2c1,1,1,0,1,1,1,8.356,8.356,8.356,4,4
scent_seh_seed44_par10,best_candidate,full,A,N-alkylation (azole N-H + alkyl halide),O=C(NCc1c[nH]c2ccccc12)c1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,1,1,0,1,1,1,8.333,8.333,8.333,6,6
scent_seh_seed44_par10,best_candidate,full,A,N-alkylation (azole N-H + alkyl halide),c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1,1,1,0,1,1,1,8.328,8.328,8.328,7,7
scent_seh_seed44_par10,best_candidate,full,A,Williamson ether synthesis,O[C@H]1CN2CCC1CC2,1,1,0,1,1,1,8.326,8.326,8.326,8,8
