set,cutoff,n_above_cutoff,frac_above_cutoff,n_scored,n_replicates,subsampled,mean_pairwise_similarity,mean_pairwise_similarity_sd,modes_per_mol,modes_per_mol_sd,butina_per_mol,butina_per_mol_sd,scaffolds_per_mol,scaffolds_per_mol_sd
enumerated,4.7,542793,0.8974158455128629,2500,3,True,0.14895929338334257,0.0009000319544661786,0.9785333333333334,0.0024440403706430754,0.9772,0.0028000000000000485,0.9825333333333334,0.0012220201853215924
enumerated,4.8,532982,0.8811950267839429,2500,3,True,0.1492831347399524,0.0007056028701870602,0.9786666666666667,0.0018903262505010662,0.9774666666666666,0.0022030282189144266,0.9836,0.0024000000000000132
enumerated,4.9,522652,0.8641161298855896,2500,3,True,0.1495799910379543,0.0006453937397473039,0.9785333333333334,0.0019731531449265105,0.9773333333333333,0.0023437861108328985,0.9845333333333334,0.002571640202931465
enumerated,5.0,511677,0.8459708352622181,2500,3,True,0.15002346025471627,0.0006403063587005945,0.9777333333333332,0.0031069813860616076,0.9766666666666667,0.003257811126098854,0.9849333333333333,0.002571640202931465
enumerated,5.1,499898,0.8264962634746379,2500,3,True,0.15051049918498938,0.0006079590691205663,0.9774666666666668,0.0037166292972710185,0.9763999999999999,0.0038574603043971772,0.9854666666666666,0.0016653327995728917
enumerated,5.2,487318,0.8056973745122677,2500,3,True,0.15088869883300948,0.0006725621705477539,0.9763999999999999,0.0035552777669262624,0.9752000000000001,0.0034871191548325113,0.9864,0.00040000000000001146
enumerated,5.3,474080,0.7838105945373983,2500,3,True,0.15111971473002633,0.0004987136294783328,0.9774666666666666,0.003401960219246168,0.976,0.003019933774108298,0.9877333333333334,0.00023094010767582486
enumerated,5.4,460085,0.7606722438992131,2500,3,True,0.15152078599369773,0.0005332070022295712,0.9763999999999999,0.003666060555964656,0.9753333333333334,0.003208322510804294,0.9874666666666666,0.00046188021535171385
enumerated,5.5,445588,0.7367039216983003,2500,3,True,0.1518853808604282,0.0006296091067081664,0.976,0.00262297540972085,0.9748,0.0020000000000000018,0.9884000000000001,0.0010583005244258455
enumerated,5.6,430801,0.7122561338535811,2500,3,True,0.15245797127213012,0.0007513033167892015,0.9754666666666667,0.003401960219246135,0.9741333333333334,0.002663331247391803,0.9892,0.0010583005244258247
enumerated,5.7,414989,0.6861136829574763,2500,3,True,0.15293404090157028,0.0006573716223768802,0.9741333333333334,0.003946306289852984,0.9729333333333333,0.003257811126098854,0.9890666666666666,0.0009237604307034277
enumerated,5.8,398355,0.6586121949606507,2500,3,True,0.15361895730294117,0.000747634481371437,0.9728,0.003487119154832537,0.9713333333333334,0.002948445918332829,0.9892,0.00040000000000001146
